[error angle]
[[ 0.051 34.726]
 [ 0.054  0.356]
 [ 0.051 34.726]
 [ 0.054  0.356]
 [ 0.051 34.726]
 [ 0.054  0.356]
 [ 0.051 34.726]
 [ 0.053  0.309]
 [ 0.051 34.726]
 [ 0.053  0.309]
 [ 0.05  34.758]
 [ 0.054  0.356]
 [ 0.05  34.726]
 [ 0.054  0.356]
 [ 0.051 34.726]
 [ 0.054  0.356]
 [ 0.051 34.726]
 [ 0.054  0.356]
 [ 0.051 34.726]
 [ 0.054  0.356]
 [ 0.051 34.726]
 [ 0.054  0.356]
 [ 0.051 34.726]
 [ 0.053  0.356]
 [ 0.05  34.726]
 [ 0.053  0.356]
 [ 0.051 34.694]
 [ 0.053  0.356]
 [ 0.05  34.726]
 [ 0.053  0.356]
 [ 0.051 34.694]
 [ 0.053  0.356]
 [ 0.051 34.694]
 [ 0.053  0.356]
 [ 0.051 34.694]
 [ 0.053  0.356]
 [ 0.042 34.726]
 [ 0.045  0.356]
 [ 0.042 34.726]
 [ 0.045  0.356]
 [ 0.034 34.662]
 [ 0.036  0.356]
 [ 0.029 34.436]
 [ 0.029  0.498]
 [ 0.028 33.258]
 [ 0.028 33.258]
 [ 0.032 33.621]
 [ 0.037 31.944]
 [ 0.031  2.68 ]
 [ 0.023 31.704]
 [ 0.017  3.012]
 [ 0.029  4.43 ]
 [ 0.031 30.556]
 [ 0.036 29.308]
 [ 0.037  5.89 ]
 [ 0.03  30.591]
 [ 0.036 29.308]
 [ 0.037  5.89 ]
 [ 0.04  28.434]
 [ 0.033  6.265]
 [ 0.031 28.434]
 [ 0.024  6.265]
 [ 0.021  7.388]
 [ 0.007 32.182]
 [ 0.024 27.695]
 [ 0.021  7.388]
 [ 0.017 32.182]
 [ 0.013 27.695]
 [ 0.022 26.567]
 [ 0.003 33.456]
 [ 0.015  8.274]
 [ 0.022 26.567]
 [ 0.003 33.456]
 [ 0.015  8.274]
 [ 0.052 23.927]
 [ 0.048 11.133]
 [ 0.047 23.728]
 [ 0.043 11.361]
 [ 0.046 35.864]
 [ 0.05  23.489]
 [ 0.058 36.758]
 [ 0.048 11.635]
 [ 0.05  23.489]
 [ 0.058 36.758]
 [ 0.048 23.649]
 [ 0.046 11.498]
 [ 0.048 23.649]
 [ 0.046 11.544]
 [ 0.048 23.649]
 [ 0.046 11.544]
 [ 0.049 23.609]
 [ 0.046 11.544]
 [ 0.048 23.609]
 [ 0.046 11.544]
 [ 0.048 23.609]
 [ 0.046 11.544]
 [ 0.048 23.609]
 [ 0.046 11.544]
 [ 0.048 23.609]
 [ 0.046 11.544]
 [ 0.048 23.609]
 [ 0.046 11.544]
 [ 0.048 23.609]
 [ 0.046 11.544]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.044 11.452]
 [ 0.048 23.609]
 [ 0.044 11.452]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.049 23.569]
 [ 0.045 11.498]
 [ 0.049 23.569]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.609]
 [ 0.045 11.498]
 [ 0.048 23.569]
 [ 0.045 11.544]
 [ 0.048 23.569]
 [ 0.045 11.544]
 [ 0.048 23.569]
 [ 0.045 11.544]
 [ 0.048 23.569]
 [ 0.045 11.498]
 [ 0.048 23.569]
 [ 0.045 11.544]
 [ 0.048 23.569]
 [ 0.045 11.544]
 [ 0.048 23.569]
 [ 0.045 11.498]
 [ 0.048 23.569]
 [ 0.045 11.498]
 [ 0.048 23.569]
 [ 0.045 11.544]
 [ 0.048 23.569]
 [ 0.045 11.498]
 [ 0.049 23.529]
 [ 0.045 11.544]
 [ 0.048 23.569]
 [ 0.045 11.544]
 [ 0.048 23.569]
 [ 0.045 11.544]
 [ 0.048 11.635]
 [ 0.048 23.569]
 [ 0.045 11.544]
 [ 0.056 36.728]
 [ 0.048 23.529]
 [ 0.045 11.544]
 [ 0.056 36.728]
 [ 0.049 23.529]
 [ 0.045 11.544]
 [ 0.056 36.728]
 [ 0.049 23.529]
 [ 0.045 11.544]
 [ 0.055 36.697]
 [ 0.049 23.529]
 [ 0.045 11.544]
 [ 0.055 36.697]
 [ 0.049 23.529]
 [ 0.044 11.498]
 [ 0.056 36.728]
 [ 0.048 23.569]
 [ 0.044 11.498]
 [ 0.056 36.728]
 [ 0.048 23.569]
 [ 0.044 11.498]
 [ 0.056 36.728]
 [ 0.048 23.569]
 [ 0.044 11.498]
 [ 0.056 36.728]
 [ 0.049 23.529]
 [ 0.045 11.544]
 [ 0.056 36.728]
 [ 0.049 23.529]
 [ 0.045 11.544]
 [ 0.056 36.758]
 [ 0.049 23.529]
 [ 0.045 11.544]
 [ 0.056 36.758]
 [ 0.049 23.529]
 [ 0.045 11.544]
 [ 0.056 36.758]
 [ 0.049 23.529]
 [ 0.045 11.544]
 [ 0.055 36.728]
 [ 0.049 23.529]
 [ 0.045 11.544]
 [ 0.055 36.728]
 [ 0.049 23.529]
 [ 0.045 11.544]
 [ 0.055 36.728]
 [ 0.048 23.529]
 [ 0.045 11.544]
 [ 0.055 36.728]
 [ 0.048 23.529]
 [ 0.045 11.544]
 [ 0.055 36.728]
 [ 0.048 23.529]
 [ 0.045 11.544]
 [ 0.048 23.529]
 [ 0.045 11.544]
 [ 0.055 36.728]
 [ 0.048 23.529]
 [ 0.045 11.544]
 [ 0.056 36.758]
 [ 0.048 23.529]
 [ 0.045 11.544]
 [ 0.056 36.758]
 [ 0.048 23.529]
 [ 0.045 11.589]
 [ 0.055 36.728]
 [ 0.048 23.529]
 [ 0.045 11.589]
 [ 0.056 36.758]
 [ 0.048 23.529]
 [ 0.045 11.589]
 [ 0.055 36.728]
 [ 0.048 23.529]
 [ 0.045 11.589]
 [ 0.055 36.728]
 [ 0.048 23.529]
 [ 0.045 11.589]
 [ 0.056 36.758]
 [ 0.048 23.529]
 [ 0.045 11.589]
 [ 0.056 36.758]
 [ 0.048 23.529]
 [ 0.045 11.589]
 [ 0.056 36.758]
 [ 0.048 23.529]
 [ 0.045 11.589]
 [ 0.056 36.758]
