[error angular_vel]
[[ 5.29364165e-02 -1.96936000e-07]
 [ 5.06613948e-02 -2.40854000e-07]
 [ 5.29364165e-02 -2.40854000e-07]
 [ 5.06453949e-02 -2.52471000e-07]
 [ 5.29013781e-02 -2.52471000e-07]
 [ 5.06303950e-02 -2.77841000e-07]
 [ 5.29013781e-02 -2.77841000e-07]
 [ 5.06173951e-02 -2.80611000e-07]
 [ 5.36194112e-02 -2.80611000e-07]
 [ 5.06093952e-02 -3.35684000e-07]
 [ 5.36103731e-02 -3.35684000e-07]
 [ 5.01113991e-02 -2.97087000e-07]
 [ 5.35773733e-02 -2.97087000e-07]
 [ 5.05813954e-02 -2.95482000e-07]
 [ 5.35773733e-02 -2.95482000e-07]
 [ 5.05653955e-02 -3.07353000e-07]
 [ 5.35434118e-02 -3.07353000e-07]
 [ 5.05483957e-02 -3.00725000e-07]
 [ 5.35264119e-02 -3.00725000e-07]
 [ 5.05343958e-02 -3.11962000e-07]
 [ 5.35073738e-02 -3.11962000e-07]
 [ 5.05193959e-02 -3.19402000e-07]
 [ 5.35073738e-02 -3.19402000e-07]
 [ 5.04993960e-02 -3.45909000e-07]
 [ 5.34853739e-02 -3.45909000e-07]
 [ 5.04833962e-02 -3.15780000e-07]
 [ 5.34694124e-02 -3.15780000e-07]
 [ 5.04683963e-02 -3.13055000e-07]
 [ 5.34333743e-02 -3.13055000e-07]
 [ 5.09353927e-02 -3.17022000e-07]
 [ 5.34163744e-02 -3.17022000e-07]
 [ 5.09203545e-02 -3.17022000e-07]
 [ 5.33993745e-02 -3.17022000e-07]
 [ 5.09043929e-02 -3.20687000e-07]
 [ 5.33993745e-02 -3.20687000e-07]
 [ 5.08893930e-02 -1.16319000e-04]
 [ 5.33823747e-02 -1.16319000e-04]
 [ 5.08743931e-02 -2.34174000e-04]
 [ 5.33653748e-02 -2.34174000e-04]
 [ 3.78025951e-02 -2.34468000e-04]
 [ 4.02712473e-02 -2.34468000e-04]
 [ 3.78025951e-02 -2.36990000e-04]
 [ 3.21196825e-02 -2.36990000e-04]
 [ 2.95609899e-02 -2.39527000e-04]
 [ 3.56742156e-02 -2.39527000e-04]
 [ 2.95609899e-02 -2.30208000e-04]
 [ 3.56742156e-02 -2.30208000e-04]
 [ 3.67471752e-02 -2.32481000e-04]
 [ 3.50638095e-02 -2.32481000e-04]
 [ 2.20294340e-02 -2.35028000e-04]
 [ 2.05634422e-02 -2.35028000e-04]
 [ 2.62920360e-02 -2.35099000e-04]
 [ 2.05634422e-02 -2.35099000e-04]
 [ 2.86087224e-02 -2.37283000e-04]
 [ 2.86087224e-02 -2.35162000e-04]
 [ 2.22375200e-02 -2.35162000e-04]
 [ 2.70244633e-02 -2.35212000e-04]
 [ 2.74982953e-02 -2.35212000e-04]
 [ 2.35291969e-02 -2.35228000e-04]
 [ 1.76504378e-02 -2.35228000e-04]
 [ 2.35291969e-02 -2.35258000e-04]
 [ 1.76504378e-02 -2.35258000e-04]
 [ 2.68838202e-02 -2.25072000e-04]
 [ 1.15231143e-02 -2.25072000e-04]
 [ 2.02528913e-02 -2.25072000e-04]
 [ 2.68838202e-02 -2.48620000e-04]
 [ 1.15231143e-02 -2.48620000e-04]
 [ 2.02528913e-02 -2.48620000e-04]
 [ 3.42403864e-02 -9.34609000e-05]
 [ 3.10779156e-02 -9.34609000e-05]
 [ 2.52578084e-02 -9.34609000e-05]
 [ 2.06646194e-02 -2.11719000e-05]
 [ 1.66868837e-02 -2.11719000e-05]
 [ 3.49210882e-03 -2.11719000e-05]
